n,r,x,label_name,label
87,76,19,A,1
119,8,14,A,1
94,74,9,A,1
95,11,12,A,1
134,0,12,A,1
92,0,3,A,1
118,11,17,A,1
70,32,3,A,1
128,33,3,A,1
85,14,21,A,1
77,3,8,A,1
29,3,3,A,1
109,28,7,A,1
209,63,10,A,1
89,3,7,A,1
171,16,14,A,1
243,11,17,A,1
109,2,14,A,1
66,8,18,A,1
177,62,12,A,1
124,14,18,A,1
159,34,10,A,1
68,0,6,A,1
136,13,12,A,1
86,7,10,A,1
75,12,16,A,1
100,0,13,A,1
147,22,18,A,1
49,5,6,A,1
111,17,13,A,1
134,0,8,A,1
179,15,32,A,1
120,20,5,A,1
169,27,6,A,1
45,0,2,A,1
105,0,10,A,1
65,6,7,A,1
192,25,15,A,1
92,2,18,A,1
212,112,12,A,1
79,9,10,A,1
119,10,15,A,1
97,0,10,A,1
129,1,9,A,1
72,27,8,A,1
70,70,12,B,2
125,21,13,B,2
105,95,9,B,2
104,21,12,B,2
115,6,25,B,2
195,63,17,B,2
111,7,15,B,2
131,22,6,B,2
108,77,3,B,2
121,12,21,B,2
74,0,4,B,2
111,26,5,B,2
120,50,10,B,2
231,105,12,B,2
113,18,12,B,2
131,32,15,B,2
222,9,9,B,2
109,0,12,B,2
161,36,19,B,2
112,9,14,B,2
121,17,16,B,2
191,110,10,B,2
85,0,8,B,2
143,14,17,B,2
82,7,12,B,2
105,22,13,B,2
140,8,15,B,2
167,7,11,B,2
38,0,3,B,2
81,13,11,B,2
162,1,6,B,2
243,11,18,B,2
66,18,5,B,2
120,25,6,B,2
133,0,6,B,2
119,10,15,B,2
92,43,6,B,2
162,6,26,B,2
131,17,26,B,2
108,48,9,B,2
46,0,5,B,2
147,16,20,B,2
130,11,14,B,2
148,0,17,B,2
100,64,17,B,2
73,54,25,C,3
130,10,12,C,3
71,44,6,C,3
104,15,13,C,3
195,3,19,C,3
99,21,11,C,3
63,8,12,C,3
85,28,5,C,3
59,11,4,C,3
113,13,28,C,3
63,0,3,C,3
50,3,1,C,3
102,36,10,C,3
223,59,10,C,3
91,5,15,C,3
169,4,7,C,3
130,57,7,C,3
103,0,8,C,3
98,22,17,C,3
173,92,17,C,3
152,21,22,C,3
137,57,7,C,3
33,0,5,C,3
123,24,10,C,3
88,0,11,C,3
99,8,9,C,3
153,1,9,C,3
154,6,16,C,3
78,4,12,C,3
80,6,17,C,3
161,0,13,C,3
184,7,25,C,3
69,18,2,C,3
141,10,8,C,3
113,8,4,C,3
132,2,10,C,3
63,24,3,C,3
161,22,19,C,3
111,10,20,C,3
78,8,7,C,3
71,0,6,C,3
118,16,20,C,3
84,6,8,C,3
175,0,12,C,3
143,42,24,C,3
59,39,14,D,4
177,26,15,D,4
48,38,3,D,4
165,41,11,D,4
150,5,15,D,4
135,47,19,D,4
97,15,11,D,4
75,18,3,D,4
51,11,3,D,4
135,28,19,D,4
102,0,6,D,4
57,39,4,D,4
58,13,9,D,4
157,23,9,D,4
94,1,13,D,4
172,69,10,D,4
105,24,2,D,4
147,1,10,D,4
94,30,36,D,4
106,23,10,D,4
137,15,13,D,4
243,131,17,D,4
137,4,10,D,4
104,2,17,D,4
116,3,13,D,4
102,13,10,D,4
151,3,15,D,4
113,7,15,D,4
67,3,8,D,4
111,13,12,D,4
132,0,12,D,4
220,6,14,D,4
67,2,4,D,4
146,10,9,D,4
110,0,4,D,4
93,2,11,D,4
79,11,3,D,4
167,36,26,D,4
144,16,14,D,4
182,63,17,D,4
61,2,8,D,4
154,12,35,D,4
98,0,8,D,4
129,9,14,D,4
130,24,20,D,4
